Date,Track,Race,Plc,Rug,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,Sire,Dam,SP
"Saturday, May 10",Angle Park (SA),1,1,Rug 8,Polarised (8),Jack Trengove,20.29,0.00,4.76,1,31.9kg,Plaintiff,Pechey,$4.40
"Saturday, May 10",Angle Park (SA),1,2,Rug 4,Buggy (4),Jason Dolan,20.47,2.50,4.89,2,35.4kg,Shima Shine,Izza Lektra,$1.80
"Saturday, May 10",Angle Park (SA),1,3,Rug 1,Taz Maniac (1),Shelley Trengove,20.99,10.00,4.95,3,27.4kg,Superior Panama,Raylene Bale,$19.00
"Saturday, May 10",Angle Park (SA),1,4,Rug 2,Zaidee Diva (2),Renata Maruszczyk,21.07,11.00,5.02,4,24.8kg,Fernando Bale,Crazy Diva,$3.40
"Saturday, May 10",Angle Park (SA),1,SCR,Rug 5,Blazin' Bon,Mitchell White,,,,,,Aston Rupee,Always Ho Ho,
"Saturday, May 10",Angle Park (SA),1,SCR,Rug 7,Zirconia Fury,Tony Hinrichsen,,,,,26.1kg,Filthy Phantom,Diamond Carat,
"Saturday, May 10",Angle Park (SA),2,1,Rug 5,Huxi Bear (5),Jack Trengove,20.13,0.00,4.67,1,30.4kg,Fernando Bale,Patriot Earhart,$2.20
"Saturday, May 10",Angle Park (SA),2,2,Rug 4,Curious Gambles (4),Leigh Drganc,20.22,1.25,4.76,2,29.7kg,Kinloch Brae,Kroes,$4.60
"Saturday, May 10",Angle Park (SA),2,3,Rug 7,Pagan Witch (7),Clint Trengove,20.45,4.50,4.84,3,26.9kg,Orson Allen,Hello I'm Jade,$5.50
"Saturday, May 10",Angle Park (SA),2,4,Rug 8,Antecedent (8),Leanne Fagan,20.74,8.75,4.89,5,28.0kg,Spring Bridge,Predecessor,$23.00
"Saturday, May 10",Angle Park (SA),2,5,Rug 2,He's A Profit (2),Leanne Fagan,20.93,11.50,4.89,4,33.3kg,Aston Kimetto,Benitoite,$21.00
"Saturday, May 10",Angle Park (SA),2,6,Rug 1,Yanco Boy (1),Jack Trengove,21.31,16.75,4.97,6,33.4kg,Superior Panama,Mootwingee,$3.90
"Saturday, May 10",Angle Park (SA),2,SCR,Rug 9,Christoff,Clint Trengove,,,,,,Superior Panama,Stitch 'Em Cilla,
"Saturday, May 10",Angle Park (SA),2,SCR,Rug 10,Archer Nine,Jack Trengove,,,,,,Currajong Kid,Cawbourne Zebra,
